Postal Code,Planning Region,Planning Area,LONGITUDE,LATITUDE
759151,NORTH REGION,MANDAI,103.82489908534001,1.42462147471378
098656,CENTRAL REGION,BUKIT MERAH,103.81467369684401,1.2668134131475601
597592,CENTRAL REGION,BUKIT TIMAH,103.77663773693399,1.3184590944708998
768445,NORTH REGION,YISHUN,103.835186431485,1.4134582265419497
098641,CENTRAL REGION,BUKIT MERAH,103.81658730454001,1.26656974202485
545043,NORTH EAST REGION,SENGKANG,103.90040811064199,1.3803022216915801
806746,NORTH EAST REGION,ANG MO KIO,103.857170017827,1.3896907309356499
529234,EAST REGION,TAMPINES,103.95996893792801,1.3554292049604602
018987,CENTRAL REGION,DOWNTOWN CORE,103.852658562152,1.28076943476845
538683,NORTH EAST REGION,HOUGANG,103.87836006659501,1.3741522260281598
239228,CENTRAL REGION,RIVER VALLEY,103.83267778466801,1.29759908182724
529870,EAST REGION,TAMPINES,103.954736264288,1.34205685853415
059108,CENTRAL REGION,OUTRAM,103.84258481078301,1.2841286263641498
529774,EAST REGION,TAMPINES,103.927458323167,1.3472995614714598
659920,WEST REGION,BUKIT BATOK,103.75935490241699,1.35213754685231
528807,EAST REGION,TAMPINES,103.95962943028,1.34895052236473
738096,NORTH REGION,WOODLANDS,103.804865088656,1.4432619210125401
588998,CENTRAL REGION,BUKIT TIMAH,103.778815124223,1.33950014743524
328071,CENTRAL REGION,KALLANG,103.863833862679,1.32437966274856
609781,WEST REGION,JURONG EAST,103.73283514859199,1.3437930234489097
478929,EAST REGION,BEDOK,103.93556912505301,1.3388756707682399
519961,EAST REGION,PASIR RIS,103.942738683574,1.37024713600127
545084,NORTH EAST REGION,SENGKANG,103.904188880213,1.39086781070277
098650,CENTRAL REGION,BUKIT MERAH,103.81560521831301,1.26633288245545
579800,CENTRAL REGION,BISHAN,103.84331524720501,1.3479926076043303
649811,WEST REGION,JURONG WEST,103.71806883263399,1.34437441495254
489929,EAST REGION,BEDOK,103.95135621615,1.32847324320348
689049,WEST REGION,CHOA CHU KANG,103.746563110704,1.3786630559557598
529861,EAST REGION,TAMPINES,103.958080755214,1.3416953817811201
436927,CENTRAL REGION,KALLANG,103.87140503336398,1.29674974193424
469976,EAST REGION,BEDOK,103.93933400726401,1.31261384042013
529891,EAST REGION,TAMPINES,103.951514766597,1.33897480949131
545075,NORTH EAST REGION,SENGKANG,103.895997534531,1.39135111898229
587843,WEST REGION,BUKIT PANJANG,103.774036259699,1.34917495760831
436923,CENTRAL REGION,KALLANG,103.87136991208,1.29594577924446
579725,CENTRAL REGION,TOA PAYOH,103.842046133241,1.34169243327448
529946,EAST REGION,TAMPINES,103.958186165132,1.3480195759654998
449032,EAST REGION,BEDOK,103.921267080406,1.30692932472448
556743,NORTH EAST REGION,SERANGOON,103.863658329254,1.3519728506700301
289844,CENTRAL REGION,BUKIT TIMAH,103.810254781907,1.33389914028752
548192,NORTH EAST REGION,HOUGANG,103.883642577066,1.36009878643944
109258,CENTRAL REGION,BUKIT MERAH,103.80851431688,1.27201238848312
118172,CENTRAL REGION,QUEENSTOWN,103.79025029103902,1.28105030575355
249565,CENTRAL REGION,TANGLIN,103.827712685178,1.2981098230744499
579801,CENTRAL REGION,BISHAN,103.84302176065,1.34770445210915
436922,CENTRAL REGION,KALLANG,103.87175042404101,1.29597074776389
659802,WEST REGION,BUKIT BATOK,103.755987037715,1.35240117439944
307953,CENTRAL REGION,NOVENA,103.84142852262501,1.31471753038513
