school_name,opening_date,closed_date,comments
ADMIRALTY PRIMARY SCHOOL,1999-06-26,,
AHMAD IBRAHIM PRIMARY SCHOOL,1995-01-02,,
AI TONG SCHOOL,1912-10-12,,
ALEXANDRA PRIMARY SCHOOL,2016-07-01,,
ANCHOR GREEN PRIMARY SCHOOL,2007-12-01,,
ANDERSON PRIMARY SCHOOL,2000-01-02,,
ANG MO KIO PRIMARY SCHOOL,2002-05-30,,
ANGLO-CHINESE SCHOOL (JUNIOR),2009-01-02,,
ANGLO-CHINESE SCHOOL (PRIMARY),2003-07-15,,
ANGSANA PRIMARY SCHOOL,2015-01-02,,
BEACON PRIMARY SCHOOL,2007-01-02,,
BEDOK GREEN PRIMARY SCHOOL,2002-01-02,,
BENDEMEER PRIMARY SCHOOL,1978-03-10,,
BLANGAH RISE PRIMARY SCHOOL,2000-01-02,,
BOON LAY GARDEN PRIMARY SCHOOL,1977-01-02,,
BUKIT PANJANG PRIMARY SCHOOL,1932-01-02,,
BUKIT TIMAH PRIMARY SCHOOL,2001-12-01,,
BUKIT VIEW PRIMARY SCHOOL,1986-03-24,,
CANBERRA PRIMARY SCHOOL,2000-11-01,,
CANOSSA CATHOLIC PRIMARY SCHOOL,2014-12-01,,school @ holding site from 2012 - 2014
CANTONMENT PRIMARY SCHOOL,2011-01-02,,
CASUARINA PRIMARY SCHOOL,2004-07-16,,
CEDAR PRIMARY SCHOOL,1985-01-02,,"school relocated once, but unable to find info"
CHANGKAT PRIMARY SCHOOL,2004-06-01,,
CHIJ (KATONG) PRIMARY,1990-11-16,,
CHIJ (KELLOCK),2002-01-02,,
CHIJ OUR LADY OF GOOD COUNSEL,2006-01-02,,
CHIJ OUR LADY OF THE NATIVITY,2004-05-28,,
CHIJ OUR LADY QUEEN OF PEACE,2007-06-01,,
CHIJ PRIMARY (TOA PAYOH),2014-05-30,,
CHONGFU SCHOOL,1985-01-02,,
CHONGZHENG PRIMARY SCHOOL,1985-01-02,,
CHUA CHU KANG PRIMARY SCHOOL,1995-01-02,,
CLEMENTI PRIMARY SCHOOL,2001-01-02,,
COMPASSVALE PRIMARY SCHOOL,2000-01-02,,
CONCORD PRIMARY SCHOOL,2001-06-30,,
CORPORATION PRIMARY SCHOOL,2003-07-08,,
DAMAI PRIMARY SCHOOL,1985-09-26,,
DAZHONG PRIMARY SCHOOL,2011-11-01,,
DE LA SALLE SCHOOL,2013-01-02,,
EAST SPRING PRIMARY SCHOOL,1999-03-22,,
EDGEFIELD PRIMARY SCHOOL,2001-01-02,,
ELIAS PARK PRIMARY SCHOOL,1995-01-03,,
ENDEAVOUR PRIMARY SCHOOL,2008-01-02,,
EUNOS PRIMARY SCHOOL,2004-12-01,,
EVERGREEN PRIMARY SCHOOL,2002-07-06,,
FAIRFIELD METHODIST SCHOOL (PRIMARY),1983-01-01,,
FARRER PARK PRIMARY SCHOOL,2002-01-02,,
FENGSHAN PRIMARY SCHOOL,2002-02-02,,
FERN GREEN PRIMARY SCHOOL,2018-01-02,,
FERNVALE PRIMARY SCHOOL,2009-01-02,,
FIRST TOA PAYOH PRIMARY SCHOOL,2002-01-02,,
FRONTIER PRIMARY SCHOOL,2011-01-02,,
FUCHUN PRIMARY SCHOOL,1990-01-02,,
FUHUA PRIMARY SCHOOL,2004-11-20,,
GAN ENG SENG PRIMARY SCHOOL,2007-01-02,,
GEYLANG METHODIST SCHOOL (PRIMARY),1984-01-02,,
GONGSHANG PRIMARY SCHOOL,1987-01-02,,
GREENDALE PRIMARY SCHOOL,2008-01-02,,
GREENRIDGE PRIMARY SCHOOL,2003-01-02,,
GREENWOOD PRIMARY SCHOOL,1972-01-02,,
GUANGYANG PRIMARY SCHOOL,2012-01-02,,
HAIG GIRLS' SCHOOL,1999-11-01,,
HENRY PARK PRIMARY SCHOOL,2013-06-01,,
HOLY INNOCENTS' PRIMARY SCHOOL,1985-03-25,,
HONG WEN SCHOOL,2010-09-18,,
HORIZON PRIMARY SCHOOL,2010-01-04,,
HOUGANG PRIMARY SCHOOL,2001-01-02,,
HUAMIN PRIMARY SCHOOL,2002-01-02,,
INNOVA PRIMARY SCHOOL,,,
JIEMIN PRIMARY SCHOOL,1985-01-02,,
JING SHAN PRIMARY SCHOOL,2001-12-01,,
JUNYUAN PRIMARY SCHOOL,1988-01-02,,
JURONG PRIMARY SCHOOL,2006-01-02,,
JURONG WEST PRIMARY SCHOOL,1999-06-28,,
JUYING PRIMARY SCHOOL,1995-05-12,,
KEMING PRIMARY SCHOOL,1987-01-02,,
KHENG CHENG SCHOOL,2005-11-19,,
KONG HWA SCHOOL,2012-06-01,,
KRANJI PRIMARY SCHOOL,1997-01-02,,
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1987-11-01,,
LAKESIDE PRIMARY SCHOOL,2003-01-02,,
LIANHUA PRIMARY SCHOOL,1988-01-02,,
MAHA BODHI SCHOOL,1995-11-01,,
MARSILING PRIMARY SCHOOL,1986-06-01,,
MARYMOUNT CONVENT SCHOOL,2001-01-02,,
