,Name,School Type,Postal Code,Longitude,Latitude,opening_date,closed_date,geometry
0,ADMIRALTY PRIMARY SCHOOL,PRIMARY,738907,103.800114351557,1.44267961678131,1999-06-26,2026-03-23,POINT (103.800114351557 1.44267961678131)
1,AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,768643,103.832924289687,1.43368120674913,1995-02-01,2026-03-23,POINT (103.832924289687 1.43368120674913)
2,AI TONG SCHOOL,PRIMARY,579646,103.833075654586,1.36073636488519,1912-12-10,2026-03-23,POINT (103.833075654586 1.36073636488519)
3,ALEXANDRA PRIMARY SCHOOL,PRIMARY,159016,103.823940793685,1.29129903505281,2016-01-07,2026-03-23,POINT (103.823940793685 1.29129903505281)
4,ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,544969,103.887256080733,1.39066247794443,2007-01-12,2026-03-23,POINT (103.887256080733 1.39066247794443)
5,ANDERSON PRIMARY SCHOOL,PRIMARY,569785,103.841238418213,1.38466596519595,2000-02-01,2026-03-23,POINT (103.841238418213 1.38466596519595)
6,ANG MO KIO PRIMARY SCHOOL,PRIMARY,569920,103.839041355537,1.36909206497025,2002-05-30,2026-03-23,POINT (103.839041355537 1.36909206497025)
7,ANGLO-CHINESE SCHOOL (JUNIOR),PRIMARY,227988,103.840518119364,1.30932129705754,2009-02-01,2026-03-23,POINT (103.840518119364 1.30932129705754)
8,ANGLO-CHINESE SCHOOL (PRIMARY),PRIMARY,309918,103.835345168025,1.31871859882709,2003-07-15,2026-03-23,POINT (103.835345168025 1.31871859882709)
9,ANGSANA PRIMARY SCHOOL,PRIMARY,529366,103.951673027853,1.34857143331006,2015-02-01,2026-03-23,POINT (103.951673027853 1.34857143331006)
10,BEACON PRIMARY SCHOOL,PRIMARY,679944,103.773754356751,1.38423667692281,2007-02-01,2026-03-23,POINT (103.773754356751 1.38423667692281)
11,BEDOK GREEN PRIMARY SCHOOL,PRIMARY,469317,103.937745022761,1.32399627634455,2002-02-01,2026-03-23,POINT (103.937745022761 1.32399627634455)
12,BENDEMEER PRIMARY SCHOOL,PRIMARY,339948,103.86535132983,1.32220847517488,1978-10-03,2026-03-23,POINT (103.86535132983 1.32220847517488)
13,BLANGAH RISE PRIMARY SCHOOL,PRIMARY,109100,103.808628381578,1.2761203442885,2000-02-01,2026-03-23,POINT (103.808628381578 1.2761203442885)
14,BOON LAY GARDEN PRIMARY SCHOOL,PRIMARY,649930,103.712969004665,1.34284670750022,1977-02-01,2026-03-23,POINT (103.712969004665 1.34284670750022)
15,BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,679676,103.76931748391,1.37347219247534,1932-02-01,2026-03-23,POINT (103.76931748391 1.37347219247534)
16,BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,598112,103.766855335531,1.33774986691199,2001-01-12,2026-03-23,POINT (103.766855335531 1.33774986691199)
17,BUKIT VIEW PRIMARY SCHOOL,PRIMARY,659634,103.753303575677,1.34625469092492,1986-03-24,2026-03-23,POINT (103.753303575677 1.34625469092492)
18,CANBERRA PRIMARY SCHOOL,PRIMARY,757714,103.815970864699,1.45106400675587,2000-01-11,2026-03-23,POINT (103.815970864699 1.45106400675587)
