STN_NAME,STN_NO,X,Y,Latitude,Longitude,COLOR,OPEN_DATE,CLOSE_DATE,geometry
ADMIRALTY MRT STATION,NS10,24402.1063,46918.1131,1.4405850009999999,103.80099820000001,RED,1995-02-01,2099-12-01,POINT (103.8009982 1.440585000999997)
ALJUNIED MRT STATION,EW9,33518.6049,33190.002,1.316432612,103.88289300000001,GREEN,1988-11-01,2099-12-01,POINT (103.882893 1.316432612000001)
ANG MO KIO MRT STATION,NS16,29807.2655,39105.772000000004,1.369933175,103.8495535,RED,1986-11-01,2099-12-01,POINT (103.8495535 1.369933174999999)
BARTLEY MRT STATION,CC12,33168.3039,36108.7003,1.3428283380000001,103.8797462,YELLOW,2008-05-01,2099-12-01,POINT (103.8797462 1.342828338000009)
BAYFRONT MRT STATION,CE1,30867.0093,29368.625,1.281873788,103.8590733,YELLOW,2011-01-01,2099-12-01,POINT (103.8590733 1.281873788000002)
BAYFRONT MRT STATION,DT16,30867.0093,29368.625,1.281873788,103.8590733,BLUE,2012-12-01,2099-12-01,POINT (103.8590733 1.281873788000002)
BEAUTY WORLD MRT STATION,DT5,21598.1665,35931.2359,1.341223176,103.77580999999999,BLUE,2014-12-01,2099-12-01,POINT (103.77581 1.341223175999993)
BEDOK MRT STATION,EW5,38757.952000000005,34024.7048,1.323979969,103.9299587,GREEN,1988-11-01,2099-12-01,POINT (103.9299587 1.323979969)
BEDOK NORTH MRT STATION,DT29,37421.7438,35214.6804,1.334742117,103.9179554,BLUE,2016-10-01,2099-12-01,POINT (103.9179554 1.334742117000003)
BEDOK RESERVOIR MRT STATION,DT30,39008.3132,35421.0409,1.33660783,103.9322077,BLUE,2016-10-01,2099-12-01,POINT (103.9322077 1.336607829999999)
BENCOOLEN MRT STATION,DT21,29899.2575,31247.3368,1.29886427,103.85037990000001,BLUE,2016-10-01,2099-12-01,POINT (103.8503799 1.298864270000005)
BENDEMEER MRT STATION,DT23,31300.8084,32884.7382,1.313672233,103.8629702,BLUE,2016-10-01,2099-12-01,POINT (103.8629702 1.313672233000002)
BISHAN MRT STATION,CC15,29762.3507,37046.3699,1.35130868,103.84915,YELLOW,2008-05-01,2099-12-01,POINT (103.84915 1.351308679999992)
BISHAN MRT STATION,NS17,29649.8988,36994.433,1.350838988,103.8481398,RED,1986-11-01,2099-12-01,POINT (103.8481398 1.35083898799999)
BOON KENG MRT STATION,NE9,31157.0712,33517.6089,1.319395706,103.86167900000001,PURPLE,2002-06-01,2099-12-01,POINT (103.861679 1.319395706000004)
BOON LAY MRT STATION,EW27,13837.9827,35641.9191,1.3386040540000002,103.7060994,GREEN,1989-07-01,2099-12-01,POINT (103.7060994 1.338604054000001)
BOTANIC GARDENS MRT STATION,CC19,25959.4046,33817.7525,1.3221101929999999,103.8149876,YELLOW,2010-10-01,2099-12-01,POINT (103.8149876 1.322110193000003)
BOTANIC GARDENS MRT STATION,DT9,26087.2663,33852.4484,1.322423979,103.8161362,BLUE,2014-12-01,2099-12-01,POINT (103.8161362 1.322423978999996)
BRADDELL MRT STATION,NS18,29500.0972,35848.0687,1.3404716840000002,103.8467942,RED,1986-11-01,2099-12-01,POINT (103.8467942 1.340471683999999)
BRAS BASAH MRT STATION,CC2,29930.7674,31025.9016,1.296861687,103.8506629,YELLOW,2009-04-01,2099-12-01,POINT (103.8506629 1.296861687000005)
BUANGKOK MRT STATION,NE15,34655.3132,40537.2069,1.382877858,103.8931042,PURPLE,2005-01-01,2099-12-01,POINT (103.8931042 1.382877857999991)
BUGIS MRT STATION,DT14,30620.8769,31323.2495,1.299550746,103.8568623,BLUE,2012-12-01,2099-12-01,POINT (103.8568623 1.299550746)
BUGIS MRT STATION,EW12,30491.5648,31424.3503,1.3004650759999998,103.8557007,GREEN,1988-11-01,2099-12-01,POINT (103.8557007 1.300465076000005)
BUKIT BATOK MRT STATION,NS2,18679.3541,36795.0141,1.349034109,103.74959,RED,1989-03-01,2099-12-01,POINT (103.74959 1.349034108999998)
BUKIT GOMBAK MRT STATION,NS3,18938.3305,37870.6512,1.358761857,103.75191640000001,RED,1989-03-01,2099-12-01,POINT (103.7519164 1.358761857000002)
BUKIT PANJANG MRT STATION,DT1,20011.3981,40108.6838,1.379002117,103.7615559,BLUE,2014-12-01,2099-12-01,POINT (103.7615559 1.379002116999997)
BUONA VISTA MRT STATION,CC22,23251.7611,32090.7692,1.3064916690000001,103.7906645,YELLOW,2010-10-01,2099-12-01,POINT (103.7906645 1.306491668999991)
BUONA VISTA MRT STATION,EW21,23200.36,32167.2655,1.307183467,103.79020279999999,GREEN,1987-03-01,2099-12-01,POINT (103.7902028 1.307183466999999)
CALDECOTT MRT STATION,CC17,28691.2451,35538.768,1.3376745079999999,103.8395281,YELLOW,2010-10-01,2099-12-01,POINT (103.8395281 1.337674507999987)
CANBERRA MRT STATION,NS12,27597.3086,47196.1838,1.4431,103.8297,RED,2018-11-01,2099-12-01,POINT (103.8297 1.443100000000007)
CASHEW MRT STATION,DT2,20362.9591,39043.5835,1.369369831,103.764714,BLUE,2014-12-01,2099-12-01,POINT (103.764714 1.369369831000002)
CHANGI AIRPORT MRT STATION,CG2,45254.8614,37711.015,1.357314545,103.9883212,GREEN,2001-02-01,2099-12-01,POINT (103.9883212 1.357314544999998)
CHINATOWN MRT STATION,DT19,29238.9683,29686.5359,1.284748969,103.8444484,BLUE,2012-12-01,2099-12-01,POINT (103.8444484 1.284748968999992)
CHINATOWN MRT STATION,NE4,29124.9585,29643.4786,1.284359578,103.84342420000002,PURPLE,2002-06-01,2099-12-01,POINT (103.8434242 1.284359577999993)
CHINESE GARDEN MRT STATION,EW25,16790.7466,36056.3019,1.342352821,103.7326244,GREEN,1987-11-01,2099-12-01,POINT (103.7326244 1.342352820999987)
CHOA CHU KANG MRT STATION,NS4,18097.9271,40811.9589,1.3853616930000001,103.74436700000001,RED,1989-03-01,2099-12-01,POINT (103.744367 1.385361692999991)
CITY HALL MRT STATION,EW13,30144.2851,30591.8478,1.292936243,103.852581,GREEN,1986-12-01,2099-12-01,POINT (103.852581 1.292936242999997)
CITY HALL MRT STATION,NS25,30144.2851,30591.8478,1.292936243,103.852581,RED,1986-12-01,2099-12-01,POINT (103.852581 1.292936242999997)
CLARKE QUAY MRT STATION,NE5,29473.1249,30088.7038,1.288386024,103.84655190000001,PURPLE,2002-06-01,2099-12-01,POINT (103.8465519 1.288386023999997)
CLEMENTI MRT STATION,EW23,20430.06,33026.6075,1.314954492,103.7653168,GREEN,1987-03-01,2099-12-01,POINT (103.7653168 1.314954491999992)
COMMONWEALTH MRT STATION,EW20,24103.2523,31642.6034,1.302438735,103.7983136,GREEN,1987-03-01,2099-12-01,POINT (103.7983136 1.302438734999997)
DAKOTA MRT STATION,CC8,34159.2741,32299.8905,1.30838264,103.888648,YELLOW,2009-04-01,2099-12-01,POINT (103.888648 1.308382639999996)
DHOBY GHAUT MRT STATION,CC1,29437.9401,31244.9618,1.2988428159999998,103.8462358,YELLOW,2009-04-01,2099-12-01,POINT (103.8462358 1.298842815999995)
DHOBY GHAUT MRT STATION,NE6,29354.3681,31340.3479,1.2997054590000001,103.84548509999999,PURPLE,2002-06-01,2099-12-01,POINT (103.8454851 1.299705459000006)
DHOBY GHAUT MRT STATION,NS24,29424.1448,31229.3143,1.298701307,103.84611190000001,RED,1986-12-01,2099-12-01,POINT (103.8461119 1.298701306999997)
DOVER MRT STATION,EW22,21914.5509,32634.1186,1.311405293,103.7786522,GREEN,2000-10-01,2099-12-01,POINT (103.7786522 1.311405293)
DOWNTOWN MRT STATION,DT17,30172.6259,29100.1876,1.27944619,103.85283559999999,BLUE,2012-12-01,2099-12-01,POINT (103.8528356 1.279446189999994)
ESPLANADE MRT STATION,CC3,30469.0566,30634.4621,1.293321608,103.8554985,YELLOW,2009-04-01,2099-12-01,POINT (103.8554985 1.293321607999988)
EUNOS MRT STATION,EW7,35782.9553,33560.0776,1.319778952,103.9032339,GREEN,1988-11-01,2099-12-01,POINT (103.9032339 1.319778951999994)
EXPO MRT STATION,CG1,42270.6232,35193.6223,1.334549778,103.9615134,GREEN,2000-01-01,2099-12-01,POINT (103.9615134 1.334549777999996)
EXPO MRT STATION,DT35,42362.7103,35285.6654,1.335382137,103.9623407,BLUE,2016-10-01,2099-12-01,POINT (103.9623407 1.335382137000003)
FARRER PARK MRT STATION,NE8,30321.3596,32739.6107,1.31235984,103.85417170000001,PURPLE,2002-06-01,2099-12-01,POINT (103.8541717 1.312359839999988)
FARRER ROAD MRT STATION,CC20,25136.2263,33309.1617,1.317510612,103.8075929,YELLOW,2010-10-01,2099-12-01,POINT (103.8075929 1.317510612)
FORT CANNING MRT STATION,DT20,29225.2834,30541.2748,1.292478928,103.8443255,BLUE,2016-10-01,2099-12-01,POINT (103.8443255 1.292478928000001)
GEYLANG BAHRU MRT STATION,DT24,32293.7994,33750.9518,1.321505838,103.87189040000001,BLUE,2016-10-01,2099-12-01,POINT (103.8718904 1.321505837999989)
GUL CIRCLE MRT STATION,EW30,8772.8552,33530.3675,1.319505215,103.6605988,GREEN,2016-06-01,2099-12-01,POINT (103.6605988 1.319505214999988)
HARBOURFRONT MRT STATION,CC29,26678.3445,27555.0595,1.26547264,103.821446,YELLOW,2010-10-01,2099-12-01,POINT (103.821446 1.265472639999999)
HARBOURFRONT MRT STATION,NE1,26678.3445,27555.0595,1.26547264,103.821446,PURPLE,2002-06-01,2099-12-01,POINT (103.821446 1.265472639999999)
HAW PAR VILLA MRT STATION,CC25,22267.5675,29442.572999999997,1.282542157,103.78182340000001,YELLOW,2010-10-01,2099-12-01,POINT (103.7818234 1.282542156999996)
HILLVIEW MRT STATION,DT3,20666.0676,38266.7899,1.362344869,103.7674369,BLUE,2014-12-01,2099-12-01,POINT (103.7674369 1.362344868999999)
HOLLAND VILLAGE MRT STATION,CC21,23868.1442,32681.5744,1.31183479,103.79620159999999,YELLOW,2010-10-01,2099-12-01,POINT (103.7962016 1.311834789999992)
HOUGANG MRT STATION,NE14,34572.8759,39256.1311,1.371292292,103.8923636,PURPLE,2002-06-01,2099-12-01,POINT (103.8923636 1.371292291999999)
JALAN BESAR MRT STATION,DT22,30466.0301,31970.4313,1.305403642,103.8554713,BLUE,2016-10-01,2099-12-01,POINT (103.8554713 1.305403641999993)
JOO KOON MRT STATION,EW29,10756.3543,34438.2764,1.327717173,103.6784167,GREEN,2008-02-01,2099-12-01,POINT (103.6784167 1.327717172999994)
JURONG EAST MRT STATION,EW24,17869.0806,35038.9472,1.33315262,103.7423112,GREEN,1987-11-01,2099-12-01,POINT (103.7423112 1.333152620000004)
JURONG EAST MRT STATION,NS1,17869.0806,35038.9472,1.33315262,103.7423112,RED,1989-03-01,2099-12-01,POINT (103.7423112 1.333152620000004)
KAKI BUKIT MRT STATION,DT28,36362.4224,35239.5458,1.3349673020000001,103.9084393,BLUE,2016-10-01,2099-12-01,POINT (103.9084393 1.334967301999997)
KALLANG MRT STATION,EW10,32236.6038,32643.3302,1.31148891,103.87137659999999,GREEN,1988-11-01,2099-12-01,POINT (103.8713766 1.311488910000004)
KEMBANGAN MRT STATION,EW6,36862.1237,33699.3568,1.321038249,103.9129282,GREEN,1988-11-01,2099-12-01,POINT (103.9129282 1.321038249000005)
KENT RIDGE MRT STATION,CC24,22581.5421,30650.0972,1.2934626329999999,103.7846438,YELLOW,2010-10-01,2099-12-01,POINT (103.7846438 1.293462633000002)
KHATIB MRT STATION,NS14,27962.3108,44352.568,1.41738337,103.83298,RED,1987-12-01,2099-12-01,POINT (103.83298 1.417383369999997)
KING ALBERT PARK MRT STATION,DT6,22489.8451,35316.6349,1.335665121,103.78382009999999,BLUE,2014-12-01,2099-12-01,POINT (103.7838201 1.335665120999984)
KOVAN MRT STATION,NE13,33758.7578,38027.2795,1.360179171,103.8850503,PURPLE,2002-06-01,2099-12-01,POINT (103.8850503 1.360179170999999)
KRANJI MRT STATION,NS7,20081.6974,45214.5479,1.425177699,103.7621874,RED,1995-02-01,2099-12-01,POINT (103.7621874 1.425177698999995)
LABRADOR PARK MRT STATION,CC27,24619.0578,28313.6298,1.272332732,103.8029471,YELLOW,2010-10-01,2099-12-01,POINT (103.8029471 1.272332731999994)
LAKESIDE MRT STATION,EW26,15494.5171,36267.1619,1.344259249,103.7209802,GREEN,1987-11-01,2099-12-01,POINT (103.7209802 1.344259248999996)
LAVENDER MRT STATION,EW11,31284.2589,32186.4342,1.30735702,103.8628215,GREEN,1988-11-01,2099-12-01,POINT (103.8628215 1.307357020000001)
LITTLE INDIA MRT STATION,DT12,29698.9692,32168.8611,1.3039164840000002,103.8524167,BLUE,2014-12-01,2099-12-01,POINT (103.8524167 1.303916483999997)
LITTLE INDIA MRT STATION,NE7,29817.1982,32124.8312,1.3071982229999999,103.8485807,PURPLE,2002-06-01,2099-12-01,POINT (103.8485807 1.307198222999997)
LORONG CHUAN MRT STATION,CC14,31431.4054,37079.9444,1.351612171,103.8641434,YELLOW,2008-05-01,2099-12-01,POINT (103.8641434 1.351612170999994)
MACPHERSON MRT STATION,CC10,34340.0124,34286.1222,1.326345372,103.8902718,YELLOW,2009-04-01,2099-12-01,POINT (103.8902718 1.326345371999996)
MACPHERSON MRT STATION,DT26,34235.7966,34256.4317,1.326076883,103.8893356,BLUE,2016-10-01,2099-12-01,POINT (103.8893356 1.326076882999999)
MARINA BAY MRT STATION,CE2,30423.4296,28735.7843,1.276150637,103.85508859999999,YELLOW,2011-01-01,2099-12-01,POINT (103.8550886 1.276150637)
MARINA BAY MRT STATION,NS27,30368.2057,28766.3819,1.276427355,103.85459250000001,RED,1988-11-01,2099-12-01,POINT (103.8545925 1.276427355000003)
MARINA SOUTH PIER MRT STATION,NS28,31287.7063,28203.4939,1.271336711,103.8628525,RED,2013-11-01,2099-12-01,POINT (103.8628525 1.271336710999992)
MARSILING MRT STATION,NS8,21406.6874,46025.7686,1.432514421,103.77409,RED,1995-02-01,2099-12-01,POINT (103.77409 1.432514421000001)
MARYMOUNT MRT STATION,CC16,28679.3688,36758.7136,1.348707263,103.8394214,YELLOW,2008-05-01,2099-12-01,POINT (103.8394214 1.348707262999995)
MATTAR MRT STATION,DT25,33556.5834,34344.8585,1.326876715,103.8832341,BLUE,2016-10-01,2099-12-01,POINT (103.8832341 1.326876714999989)
MOUNTBATTEN MRT STATION,CC7,33476.5634,32058.7418,1.306201905,103.8825153,YELLOW,2009-04-01,2099-12-01,POINT (103.8825153 1.306201904999995)
NEWTON MRT STATION,DT11,28499.9628,32877.5173,1.313607102,103.8378098,BLUE,2014-12-01,2099-12-01,POINT (103.8378098 1.313607101999999)
NEWTON MRT STATION,NS21,28519.3616,32735.2072,1.3123201,103.83798409999999,RED,1986-12-01,2099-12-01,POINT (103.8379841 1.312320100000008)
NICOLL HIGHWAY MRT STATION,CC5,31374.1708,31347.1516,1.299766835,103.8636292,YELLOW,2009-04-01,2099-12-01,POINT (103.8636292 1.299766834999996)
NOVENA MRT STATION,NS20,29169.3298,33633.1535,1.320440791,103.8438228,RED,1986-12-01,2099-12-01,POINT (103.8438228 1.320440790999988)
ONE-NORTH MRT STATION,CC23,22896.0731,31346.4085,1.299759879,103.7874693,YELLOW,2010-10-01,2099-12-01,POINT (103.7874693 1.29975987899999)
ORCHARD MRT STATION,NS22,27880.1256,31813.1134,1.303981012,103.8322417,RED,1986-12-01,2099-12-01,POINT (103.8322417 1.303981012)
OUTRAM PARK MRT STATION,EW16,28646.3739,29316.7727,1.279764543,103.8395732,GREEN,1986-12-01,2099-12-01,POINT (103.8395732 1.279764542999995)
OUTRAM PARK MRT STATION,NE3,28696.2602,29135.382,1.28140498,103.839125,PURPLE,2002-06-01,2099-12-01,POINT (103.839125 1.28140498)
PASIR PANJANG MRT STATION,CC26,23329.2647,28742.7658,1.276213523,103.79136070000001,YELLOW,2010-10-01,2099-12-01,POINT (103.7913607 1.276213522999995)
PASIR RIS MRT STATION,EW1,40903.7716,39443.3983,1.3729837740000002,103.9492348,GREEN,1988-12-01,2099-12-01,POINT (103.9492348 1.372983773999987)
PAYA LEBAR MRT STATION,CC9,34550.5756,33300.3402,1.317430268,103.89216329999999,YELLOW,2009-04-01,2099-12-01,POINT (103.8921633 1.317430267999988)
PAYA LEBAR MRT STATION,EW8,34648.6773,33375.7341,1.318112082,103.8930446,GREEN,1988-11-01,2099-12-01,POINT (103.8930446 1.318112081999995)
PIONEER MRT STATION,EW28,12864.9592,35529.4973,1.337586882,103.69735859999999,GREEN,2008-02-01,2099-12-01,POINT (103.6973586 1.337586881999999)
POTONG PASIR MRT STATION,NE10,31977.1677,34842.7289,1.331379525,103.869046,PURPLE,2002-06-01,2099-12-01,POINT (103.869046 1.331379524999998)
PROMENADE MRT STATION,CC4,31080.6082,30623.0174,1.293218051,103.8609921,YELLOW,2009-04-01,2099-12-01,POINT (103.8609921 1.293218050999995)
PROMENADE MRT STATION,DT15,31064.3414,30586.9146,1.292891552,103.860846,BLUE,2012-12-01,2099-12-01,POINT (103.860846 1.292891551999996)
PUNGGOL MRT STATION,NE17,35651.3846,42933.2694,1.4045467280000001,103.902052,PURPLE,2002-06-01,2099-12-01,POINT (103.902052 1.404546727999991)
QUEENSTOWN MRT STATION,EW19,24946.8083,30804.6785,1.294860933,103.8058913,GREEN,1987-03-01,2099-12-01,POINT (103.8058913 1.294860933000003)
RAFFLES PLACE MRT STATION,EW14,30019.1805,29617.6126,1.284125611,103.8514572,GREEN,1986-12-01,2099-12-01,POINT (103.8514572 1.284125610999988)
RAFFLES PLACE MRT STATION,NS26,30019.1805,29617.6126,1.284125611,103.8514572,RED,1986-12-01,2099-12-01,POINT (103.8514572 1.284125610999988)
REDHILL MRT STATION,EW18,26163.478,30218.8196,1.289562726,103.8168209,GREEN,1987-03-01,2099-12-01,POINT (103.8168209 1.28956272599999)
ROCHOR MRT STATION,DT13,30126.0006,31805.9862,1.306800025,103.8496427,BLUE,2014-12-01,2099-12-01,POINT (103.8496427 1.306800025)
SEMBAWANG MRT STATION,NS11,26522.9883,47854.1998,1.449050821,103.82005040000001,RED,1995-02-01,2099-12-01,POINT (103.8200504 1.449050820999999)
SENGKANG MRT STATION,NE16,34918.274,41512.1277,1.391694626,103.8954664,PURPLE,2002-06-01,2099-12-01,POINT (103.8954664 1.391694626000001)
SERANGOON MRT STATION,CC13,32345.7724,36967.5123,1.3505952559999999,103.87235720000001,YELLOW,2008-05-01,2099-12-01,POINT (103.8723572 1.350595255999994)
SERANGOON MRT STATION,NE12,32480.0726,36869.3924,1.349707875,103.8735637,PURPLE,2002-06-01,2099-12-01,POINT (103.8735637 1.349707874999994)
SIMEI MRT STATION,EW3,41360.6138,36150.3959,1.343202895,103.9533387,GREEN,1988-12-01,2099-12-01,POINT (103.9533387 1.343202895000006)
SIXTH AVENUE MRT STATION,DT7,23985.5297,34777.1434,1.330786387,103.7972561,BLUE,2014-12-01,2099-12-01,POINT (103.7972561 1.330786386999999)
SOMERSET MRT STATION,NS23,28640.656000000003,31401.6698,1.300260055,103.83907370000001,RED,1986-12-01,2099-12-01,POINT (103.8390737 1.300260055)
