regularizer,lambda,train_rmse,validation_rmse,test_rmse,train_mape,validation_mape,test_mape
L1,0.001,1036.1590576171875,1077.567138671875,1147.07373046875,5.833583831787109,6.160929203033447,6.257632255554199
L1,0.005,918.4473266601562,998.2535400390625,1026.5487060546875,5.265131950378418,5.703336238861084,5.726269245147705
L1,0.01,1014.5355834960938,1068.626220703125,1119.32275390625,5.857393741607666,6.173588752746582,6.277033805847168
L1,0.05,974.6328735351562,1045.9373779296875,1063.123779296875,5.761131763458252,6.115815162658691,6.1669392585754395
L1,0.1,1411.24755859375,1452.4151611328125,1424.965087890625,6.824782371520996,7.104135990142822,7.174171447753906
L2,0.001,942.42431640625,1021.7347412109375,1048.5477294921875,5.459197044372559,5.83522891998291,5.937350273132324
L2,0.005,1006.2421264648438,1057.0770263671875,1090.972900390625,5.762632369995117,6.077516555786133,6.182529449462891
L2,0.01,1302.349853515625,1346.3399658203125,1343.4693603515625,6.890777587890625,7.125757217407227,7.208656311035156
L2,0.05,1157.4647216796875,1212.0655517578125,1217.6971435546875,6.254179000854492,6.511327266693115,6.617652893066406
L2,0.1,1157.2904052734375,1210.4649658203125,1258.0908203125,6.220200061798096,6.496129035949707,6.66358757019043
