n_layer1,n_layer2,n_layer3,batch_norm,drop_rate,train_rmse,eval_rmse,test_rmse,train_mape,eval_mape,test_mape
8,16,32,"(True, True)",0.5,1836.610107421875,1804.7188720703125,1823.6038818359375,10.609258651733398,10.62274169921875,10.738523483276367
16,32,64,"(True, True)",0.5,1619.1722412109375,1635.0809326171875,1607.2176513671875,8.767266273498535,8.857787132263184,8.912284851074219
32,64,128,"(True, True)",0.5,1235.13330078125,1284.9683837890625,1280.72705078125,7.574786186218262,7.778414249420166,7.873955249786377
64,128,256,"(True, True)",0.5,1259.214599609375,1343.46728515625,1605.730712890625,7.0597825050354,7.2108306884765625,7.2992353439331055
128,256,512,"(True, True)",0.5,974.7050170898438,1031.8409423828125,1057.1649169921875,5.693450927734375,6.019894123077393,6.05178165435791
32,16,8,"(True, True)",0.5,2705.68115234375,2679.049560546875,2689.536865234375,18.12205696105957,18.16486358642578,18.166221618652344
64,32,16,"(True, True)",0.5,1554.422607421875,1564.5067138671875,1572.897216796875,9.074784278869629,9.273358345031738,9.254406929016113
128,64,32,"(True, True)",0.5,1221.835693359375,1246.959228515625,1282.5391845703125,7.512156009674072,7.751524448394775,7.7936248779296875
256,128,64,"(True, True)",0.5,1141.700439453125,1173.428955078125,1220.002685546875,6.809590816497803,7.050952911376953,7.123690128326416
512,256,128,"(True, True)",0.5,1098.3538818359375,1114.608154296875,1250.7716064453125,6.539346694946289,6.855906963348389,6.870799541473389
8,16,8,"(True, True)",0.5,3196.43798828125,3155.265380859375,3157.669189453125,21.000286102294922,21.099367141723633,21.083560943603516
16,32,16,"(True, True)",0.5,1672.4774169921875,1675.7373046875,1683.26708984375,9.530555725097656,9.644994735717773,9.673494338989258
32,64,32,"(True, True)",0.5,1393.5030517578125,1396.25390625,1429.047607421875,8.308159828186035,8.342991828918457,8.52592945098877
64,128,64,"(True, True)",0.5,1264.2998046875,1295.5029296875,1316.4837646484375,7.706472396850586,7.829162120819092,7.923611640930176
128,256,128,"(True, True)",0.5,1252.9481201171875,1283.16015625,1271.145751953125,7.015089511871338,7.0544586181640625,7.26072883605957
256,512,256,"(True, True)",0.5,997.0496826171875,1066.1328125,1083.9588623046875,5.624303340911865,6.045006275177002,6.103365421295166
8,8,8,"(True, True)",0.5,2473.578857421875,2435.639404296875,2445.680419921875,15.47274112701416,15.514298439025879,15.523246765136719
16,16,16,"(True, True)",0.5,2026.081787109375,1995.609130859375,2003.552001953125,12.676798820495605,12.677767753601074,12.784090995788574
32,32,32,"(True, True)",0.5,1490.1182861328125,1511.873046875,1505.2435302734375,8.908750534057617,9.078731536865234,9.011099815368652
64,64,64,"(True, True)",0.5,1351.1553955078125,1385.6346435546875,1355.0418701171875,7.334529399871826,7.4821319580078125,7.521657466888428
128,128,128,"(True, True)",0.5,1067.70458984375,1090.6783447265625,1123.6810302734375,5.9796037673950195,6.1919331550598145,6.279277324676514
256,256,256,"(True, True)",0.5,1009.9920654296875,1077.481689453125,1098.605224609375,5.96973180770874,6.312833786010742,6.333558559417725
512,512,512,"(True, True)",0.5,961.5326538085938,1065.5220947265625,1084.5352783203125,5.3006486892700195,5.795953273773193,5.840453147888184
8,16,32,"(True, False)",0.5,2167.85009765625,2111.67333984375,2116.3701171875,12.06708812713623,11.940165519714355,12.071150779724121
